config,K,L,threshold,capacity,aggregator,t,kept,retention_rate
"K=8, L=8, cap=100000",8,8,,100000,median,1,1,1.0
"K=8, L=8, cap=100000",8,8,,100000,median,10001,10001,1.0
"K=8, L=8, cap=100000",8,8,,100000,median,20001,20001,1.0
"K=8, L=8, cap=100000",8,8,,100000,median,30001,30001,1.0
"K=8, L=8, cap=100000",8,8,,100000,median,40001,40001,1.0
"K=8, L=8, cap=100000",8,8,,100000,median,50001,50001,1.0
"K=8, L=8, cap=100000",8,8,,100000,median,60001,60001,1.0
"K=8, L=8, cap=100000",8,8,,100000,median,70001,70001,1.0
"K=8, L=8, cap=100000",8,8,,100000,median,80001,80001,1.0
"K=8, L=8, cap=100000",8,8,,100000,median,90001,90001,1.0
"K=8, L=8, cap=100000",8,8,,100000,median,100001,100000,0.999990000099999
"K=8, L=8, cap=100000",8,8,,100000,median,110001,100000,0.90908264470323
"K=8, L=8, cap=100000",8,8,,100000,median,120001,100000,0.8333263889467588
"K=8, L=8, cap=100000",8,8,,100000,median,130001,100000,0.7692248521165221
"K=8, L=8, cap=100000",8,8,,100000,median,140001,100000,0.7142806122813409
"K=8, L=8, cap=100000",8,8,,100000,median,150001,100000,0.6666622222518517
"K=8, L=8, cap=100000",8,8,,100000,median,160001,100000,0.6249960937744139
"K=8, L=8, cap=100000",8,8,,100000,median,170001,100000,0.5882318339303887
"K=8, L=8, cap=100000",8,8,,100000,median,180001,100000,0.5555524691529492
"K=8, L=8, cap=100000",8,8,,100000,median,190001,100000,0.5263130194051611
"K=8, L=8, cap=100000",8,8,,100000,median,200001,100000,0.49999750001249993
"K=8, L=8, cap=100000",8,8,,100000,median,210001,100000,0.476188208627578
"K=8, L=8, cap=100000",8,8,,100000,median,220001,100000,0.45454338843914344
"K=8, L=8, cap=100000",8,8,,100000,median,230001,100000,0.43478071834470283
"K=8, L=8, cap=100000",8,8,,100000,median,240001,100000,0.4166649305627893
"K=8, L=8, cap=100000",8,8,,100000,median,250001,100000,0.39999840000639997
"K=8, L=8, cap=100000",8,8,,100000,median,260001,100000,0.3846139053311333
"K=8, L=8, cap=100000",8,8,,100000,median,270001,100000,0.3703689986333384
"K=8, L=8, cap=100000",8,8,,100000,median,280001,100000,0.35714158163720844
"K=8, L=8, cap=100000",8,8,,100000,median,290001,100000,0.3448263971503547
"K=8, L=8, cap=100000",8,8,,100000,median,300001,100000,0.3333322222259259
"K=8, L=8, cap=100000",8,8,,100000,median,310001,100000,0.3225796045819207
"K=8, L=8, cap=100000",8,8,,100000,median,320001,100000,0.31249902344055175
"K=8, L=8, cap=100000",8,8,,100000,median,330001,100000,0.30302938475944013
"K=8, L=8, cap=100000",8,8,,100000,median,340001,100000,0.2941167820094647
"K=8, L=8, cap=100000",8,8,,100000,median,350001,100000,0.28571346939008746
"K=8, L=8, cap=100000",8,8,,100000,median,360001,100000,0.27777700617498285
"K=8, L=8, cap=100000",8,8,,100000,median,370001,100000,0.27026953981205454
"K=8, L=8, cap=100000",8,8,,100000,median,380001,100000,0.2631572022178889
"K=8, L=8, cap=100000",8,8,,100000,median,390001,100000,0.2564095989497463
"K=8, L=8, cap=100000",8,8,,100000,median,400001,100000,0.2499993750015625
"K=8, L=8, cap=100000",8,8,,100000,median,410001,100000,0.24390184414184354
"K=8, L=8, cap=100000",8,8,,100000,median,420001,100000,0.2380946712031638
"K=8, L=8, cap=100000",8,8,,100000,median,430001,100000,0.23255759870325882
"K=8, L=8, cap=100000",8,8,,100000,median,440001,100000,0.22727221074497558
