window_start,window_end,window_retention_rate,window_kept,dominant_cluster,n_unique_clusters
0,50000,1.0,50000,0,1
25000,75000,1.0,50000,0,2
50000,100000,1.0,50000,1,2
75000,125000,0.80808,40404,1,2
100000,150000,0.49422,24711,2,3
125000,175000,0.36424,18212,3,2
150000,200000,0.2838,14190,3,1
175000,225000,0.22736,11368,3,2
200000,250000,0.19706,9853,4,2
225000,275000,0.1276,6380,4,1
250000,300000,0.14126,7063,4,2
275000,325000,0.14226,7113,5,2
300000,350000,0.11412,5706,5,2
325000,375000,0.1107,5535,6,2
350000,400000,0.09558,4779,6,2
375000,425000,0.07242,3621,7,2
400000,450000,0.06642,3321,7,2
425000,475000,0.07394,3697,8,2
450000,500000,0.07086,3543,8,2
475000,525000,0.05782,2891,9,3
500000,550000,0.03996,1998,10,2
525000,575000,0.03856,1928,10,2
550000,600000,0.039,1950,11,3
575000,625000,0.03846,1923,12,2
600000,650000,0.0512,2560,12,2
625000,675000,0.05666,2833,13,2
650000,700000,0.0473,2365,13,1
675000,725000,0.04926,2463,13,2
700000,750000,0.03464,1732,14,2
725000,775000,0.02124,1062,14,2
750000,800000,0.024,1200,15,2
775000,825000,0.02046,1023,15,2
800000,850000,0.01694,847,16,2
825000,875000,0.0236,1180,16,2
850000,900000,0.02722,1361,17,2
875000,925000,0.02188,1094,17,2
900000,950000,0.02016,1008,18,2
925000,975000,0.0268,1340,18,2
950000,1000000,0.02908,1454,19,2
975000,1000000,0.02296,574,19,1
