Method,Parameters,Build_Time_s,Index_Size_MB,recall,qps,p50_us,p95_us,p99_us,dist_err_ratio
FALCONN,"L=10, probes=10",8.803267240524292,863.0625,0.1645272206303725,16982.21660718017,54.2365,96.78314999999998,139.22694,1.2164496
FALCONN,"L=10, probes=50",8.803267240524292,863.0625,0.3713180515759313,3164.046937191187,299.309,440.1485,573.81251,1.0762547
FALCONN,"L=10, probes=100",8.803267240524292,863.0625,0.4869340974212034,1935.0499663736969,494.673,706.0750499999997,859.95022,1.0431762
FALCONN,"L=10, probes=500",8.803267240524292,863.0625,0.7692836676217766,513.2112726602522,1887.9895,2654.4863999999984,3191.8556200000003,1.0083188
FALCONN,"L=10, probes=1000",8.803267240524292,863.0625,0.8669627507163324,293.41069879363465,3284.6855,4438.388549999998,6566.4698100000005,1.0037013
FALCONN,"L=50, probes=50",3.3411824703216557,155.4375,0.5070487106017192,3212.5854036545784,292.218,468.4540999999999,657.4746100000001,1.0362867
FALCONN,"L=50, probes=100",3.3411824703216557,155.4375,0.6397277936962751,1060.8824605337995,912.5585,1231.51845,1516.40612,1.017958
FALCONN,"L=50, probes=500",3.3411824703216557,155.4375,0.8917335243553008,409.42742372413113,2381.3025,3181.474899999999,3853.45968,1.0022646
FALCONN,"L=50, probes=1000",3.3411824703216557,155.4375,0.9541404011461316,238.28158523523223,4036.821,5382.267499999996,8225.083890000002,1.0006647
FALCONN,"L=100, probes=100",6.373644590377808,110.625,0.6969054441260745,1685.644085696708,553.1745,840.9778999999997,1248.1682800000003,1.0125965
FALCONN,"L=100, probes=500",6.373644590377808,110.625,0.926031518624642,324.19523633893084,2964.862,3958.2405,5680.14471,1.0012828
FALCONN,"L=100, probes=1000",6.373644590377808,110.625,0.9724212034383954,203.42628805587051,4774.253,6290.908849999999,8545.67994,1.0002642
