Method,Parameters,Build_Time_s,Index_Size_MB,recall,qps,p50_us,p95_us,p99_us,dist_err_ratio
FALCONN,"L=10, probes=10",0.6247358322143555,70.125,0.68143,948.1776651689028,849.4465,2691.1622,3371.921010000005,1.0133191
FALCONN,"L=10, probes=50",0.6247358322143555,70.125,0.90753,337.18153663401205,2692.6295,6349.040299999999,7679.665780000003,1.0019258
FALCONN,"L=10, probes=100",0.6247358322143555,70.125,0.95635,230.21749766644328,4059.412,8691.332649999998,10503.181740000002,1.000735
FALCONN,"L=10, probes=500",0.6247358322143555,70.125,0.9951599999999998,105.13056607611188,9415.7155,16168.442099999998,18409.77844,1.0000396
FALCONN,"L=10, probes=1000",0.6247358322143555,70.125,0.9984,77.8816740502943,12926.751,20385.611249999994,22841.94548,1.0000111
FALCONN,"L=50, probes=50",1.6432132720947266,154.30859375,0.97291,239.2338806931876,3929.7935,8472.1096,10152.157380000004,1.0003867
FALCONN,"L=50, probes=100",1.6432132720947266,154.30859375,0.99093,157.93667655915496,6172.229,11843.685,13773.420920000006,1.0000738
FALCONN,"L=50, probes=500",1.6432132720947266,154.30859375,0.99901,75.62375297606346,13342.299,21648.627849999997,24330.25051,1.0000027
FALCONN,"L=50, probes=1000",1.6432132720947266,154.30859375,0.99913,58.29592904385469,17392.424,26331.603,29251.279850000003,1.0000015
FALCONN,"L=100, probes=100",2.801769495010376,108.375,0.99525,146.54737863900658,6653.347,12674.685099999992,14625.341500000008,1.0000538
FALCONN,"L=100, probes=500",2.801769495010376,108.375,0.99917,68.32270977299429,14776.672,23538.02585,26248.27283,1.000002
FALCONN,"L=100, probes=1000",2.801769495010376,108.375,0.9993300000000002,52.61981530853893,19298.621,28978.03975,32264.92159,1.0
