Method,Parameters,Dataset,Build_Time_s,Index_Size_MB,n_tables,n_proj,iProbes,qProbes,recall,qps,p50_us,p95_us,p99_us,dist_err_ratio
Falconn++,"""L=50, D=128, iP=10, qP=100""",MSMARCO,287.9899477958679,5191.64453125,50,128,10,100,0.8375358166189112,1075.747721815321,913.2465,1077.1892999999995,1186.0840799999996,1.0037049
Falconn++,"""L=50, D=128, iP=10, qP=500""",MSMARCO,287.9899477958679,5191.64453125,50,128,10,500,0.9806017191977078,293.53236579733647,3426.875,3815.8148999999994,3999.2160799999997,1.0001879
Falconn++,"""L=50, D=128, iP=10, qP=1000""",MSMARCO,287.9899477958679,5191.64453125,50,128,10,1000,0.9948137535816619,165.50081788986702,6053.797,6642.3024,6833.397599999999,1.0000296
Falconn++,"""L=50, D=128, iP=10, qP=2000""",MSMARCO,287.9899477958679,5191.64453125,50,128,10,2000,0.9990974212034385,94.51190511657576,10570.471,11374.71015,11793.05964,1.0
Falconn++,"""L=50, D=128, iP=10, qP=4000""",MSMARCO,287.9899477958679,5191.64453125,50,128,10,4000,0.9999140401146132,54.52530570143722,18089.405,19744.342,20545.41073,1.0
Falconn++,"""L=50, D=128, iP=40, qP=100""",MSMARCO,774.0211591720581,5190.10546875,50,128,40,100,0.8315759312320916,1083.0017538694187,919.833,996.57935,1133.38034,1.0037327
Falconn++,"""L=50, D=128, iP=40, qP=500""",MSMARCO,774.0211591720581,5190.10546875,50,128,40,500,0.977378223495702,294.43563246752717,3388.586,3714.8324499999994,4450.206459999999,1.0002363
Falconn++,"""L=50, D=128, iP=40, qP=1000""",MSMARCO,774.0211591720581,5190.10546875,50,128,40,1000,0.9939111747851003,161.27394346312963,6435.4345,6926.7707,7272.357339999999,1.000029
Falconn++,"""L=50, D=128, iP=40, qP=2000""",MSMARCO,774.0211591720581,5190.10546875,50,128,40,2000,0.9988108882521491,92.80601825569568,10753.8535,12816.25065,13198.05919,1.0000086
Falconn++,"""L=50, D=128, iP=40, qP=4000""",MSMARCO,774.0211591720581,5190.10546875,50,128,40,4000,0.9998710601719198,51.362932605989,18992.222,21195.656,21931.471719999998,1.0
Falconn++,"""L=50, D=256, iP=10, qP=100""",MSMARCO,372.6934566497803,6149.5625,50,256,10,100,0.874083094555874,1061.4720757832217,882.782,993.4023999999998,1067.6834899999997,1.0026135
Falconn++,"""L=50, D=256, iP=10, qP=500""",MSMARCO,372.6934566497803,6149.5625,50,256,10,500,0.9875501432664757,321.18380735746933,3129.2035,3618.30115,3884.434369999999,1.0000635
Falconn++,"""L=50, D=256, iP=10, qP=1000""",MSMARCO,372.6934566497803,6149.5625,50,256,10,1000,0.9971633237822349,195.7950312762031,5085.6475,5555.36545,5820.305959999997,1.0000063
Falconn++,"""L=50, D=256, iP=10, qP=2000""",MSMARCO,372.6934566497803,6149.5625,50,256,10,2000,0.9995558739255014,110.92012270808515,9123.388,10970.466599999998,11472.97771,1.0
Falconn++,"""L=50, D=256, iP=10, qP=4000""",MSMARCO,372.6934566497803,6149.5625,50,256,10,4000,0.9999426934097422,62.85264848381176,15661.141,17587.3563,18512.976169999998,1.0
