Method,Parameters,Build_Time_s,Index_Size_MB,recall,qps,p50_us,p95_us,p99_us,dist_err_ratio
Vanilla LSH (FAISS),nbits=128,2.049373149871826,15.446377754211426,0.2574498567335244,832.3597996076229,929.2305,1422.12465,7422.623350000002,1.345083
Vanilla LSH (FAISS),nbits=256,3.760002851486206,30.892666816711426,0.44203438395415473,246.8853962296341,2714.8885,8993.331299999996,32161.660780000002,1.1342405
Vanilla LSH (FAISS),nbits=512,7.916069030761719,61.785244941711426,0.5969914040114613,153.13184261555702,5051.843,15373.739099999919,33093.84392,1.0574735
Vanilla LSH (FAISS),nbits=1024,14.649717330932617,123.57040119171143,0.7009312320916905,70.70097795069319,11274.162,31601.45404999998,45160.94332,1.030499
Vanilla LSH (FAISS),nbits=2048,30.15902066230774,247.14071369171143,0.7830229226361032,39.14267078159255,20531.245,49296.57709999999,67008.31609000001,1.0145568
Vanilla LSH (FAISS),nbits=4096,298.0408561229706,494.2813386917114,0.8401146131805157,13.92299669207823,66286.6145,116186.33649999998,211736.39093,1.0075998
FALCONN,"L=10, probes=10",8.803267240524292,863.0625,0.1645272206303725,16982.21660718017,54.2365,96.78314999999998,139.22694,1.2164496
FALCONN,"L=10, probes=50",8.803267240524292,863.0625,0.3713180515759313,3164.046937191187,299.309,440.14849999999996,573.81251,1.0762547
FALCONN,"L=10, probes=100",8.803267240524292,863.0625,0.4869340974212034,1935.0499663736969,494.673,706.0750499999997,859.95022,1.0431762
FALCONN,"L=10, probes=500",8.803267240524292,863.0625,0.7692836676217766,513.2112726602522,1887.9895,2654.4863999999984,3191.8556200000003,1.0083188
FALCONN,"L=10, probes=1000",8.803267240524292,863.0625,0.8669627507163324,293.41069879363465,3284.6855,4438.388549999998,6566.4698100000005,1.0037013
FALCONN,"L=50, probes=50",3.3411824703216553,155.4375,0.5070487106017192,3212.5854036545784,292.218,468.45409999999987,657.4746100000001,1.0362867
FALCONN,"L=50, probes=100",3.3411824703216553,155.4375,0.6397277936962751,1060.8824605337995,912.5585,1231.51845,1516.40612,1.017958
FALCONN,"L=50, probes=500",3.3411824703216553,155.4375,0.8917335243553008,409.42742372413113,2381.3025,3181.474899999999,3853.4596800000004,1.0022646
FALCONN,"L=50, probes=1000",3.3411824703216553,155.4375,0.9541404011461317,238.28158523523226,4036.821,5382.267499999996,8225.083890000002,1.0006647
FALCONN,"L=100, probes=100",6.373644590377808,110.625,0.6969054441260745,1685.6440856967079,553.1745,840.9778999999997,1248.1682800000005,1.0125965
FALCONN,"L=100, probes=500",6.373644590377808,110.625,0.926031518624642,324.19523633893084,2964.862,3958.2404999999994,5680.14471,1.0012828
FALCONN,"L=100, probes=1000",6.373644590377808,110.625,0.9724212034383954,203.42628805587054,4774.253,6290.908849999999,8545.67994,1.0002642
HNSW,ef=10,94.67623805999756,1606.5268325805664,0.7502435530085961,14421.30811165276,61.648,116.55425,192.44188,1.0605308
HNSW,ef=20,94.67623805999756,1606.5268325805664,0.8473065902578796,11147.6984002719,84.5915,137.6223,187.44830000000002,1.0323073
HNSW,ef=40,94.67623805999756,1606.5268325805664,0.9138681948424069,6652.636668941786,141.6555,229.2270999999999,327.01065,1.0159553
HNSW,ef=80,94.67623805999756,1606.5268325805664,0.9516045845272206,4108.595384148012,236.3315,350.1377999999998,490.2128400000002,1.0087011
HNSW,ef=160,94.67623805999756,1606.5268325805664,0.9763610315186246,2309.668446168038,426.322,595.1326,786.9197900000001,1.0032027
HNSW,ef=320,94.67623805999756,1606.5268325805664,0.9878796561604584,1252.5229311001003,784.657,1094.13195,1609.07649,1.0015599
HNSW,ef=640,94.67623805999756,1606.5268325805664,0.9931518624641832,673.5988878325727,1473.292,1990.3115500000001,2450.6137100000005,1.0008689
