Method,Parameters,Build_Time_s,Index_Size_MB,nprobe,efSearch,recall,qps,p50_us,p95_us,p99_us,dist_err_ratio
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=8, ef=16",54.33983874320984,1729.9929246902466,8,16,0.7808452722063036,2617.2318956719173,381.4125,475.7544499999998,578.21365,1.0279531
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=8, ef=32",54.33983874320984,1729.9929246902466,8,32,0.7939541547277937,1843.881917351873,546.445,682.5484,797.33034,1.0265846
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=8, ef=64",54.33983874320984,1729.9929246902466,8,64,0.7979512893982807,1339.8290204721525,745.072,951.8240999999998,1075.42241,1.0261679
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=8, ef=128",54.33983874320984,1729.9929246902466,8,128,0.7988538681948424,976.6620052851242,1025.1765,1276.9149,1425.20803,1.0260489
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=16, ef=16",54.33983874320984,1729.9929246902466,16,16,0.8485816618911175,1411.9899354360764,711.9745,862.20565,968.0028000000002,1.0162157
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=16, ef=32",54.33983874320984,1729.9929246902466,16,32,0.8629369627507165,958.9829947201497,1028.9325,1332.5934,1754.04207,1.0149161
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=16, ef=64",54.33983874320984,1729.9929246902466,16,64,0.8673209169054442,695.4662345041877,1433.6585,1733.08075,1907.18053,1.0145146
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=16, ef=128",54.33983874320984,1729.9929246902466,16,128,0.868323782234957,490.68828790397043,2034.1455,2420.3087499999992,2616.1522200000004,1.0143236
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=32, ef=16",54.33983874320984,1729.9929246902466,32,16,0.8950286532951292,723.7214754223093,1380.7015,1620.6210999999998,1777.54205,1.0090511
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=32, ef=32",54.33983874320984,1729.9929246902466,32,32,0.9101862464183381,505.20346643589556,1974.3845,2297.5229,2483.85179,1.0077966
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=32, ef=64",54.33983874320984,1729.9929246902466,32,64,0.9148424068767909,333.608927030687,2910.977,3725.314849999999,5213.78867,1.0075142
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=32, ef=128",54.33983874320984,1729.9929246902466,32,128,0.915888252148997,243.36250467169106,4072.099,4709.887299999999,5072.122850000001,1.0074271
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=64, ef=16",54.33983874320984,1729.9929246902466,64,16,0.9261604584527221,363.6468699144723,2737.245,3124.1058,3293.08932,1.0055782
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=64, ef=32",54.33983874320984,1729.9929246902466,64,32,0.9419054441260745,254.2231328203143,3908.382,4445.158399999998,4708.28246,1.004368
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=64, ef=64",54.33983874320984,1729.9929246902466,64,64,0.9467621776504297,176.4284132758633,5632.541,6351.823,6686.22035,1.00411
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=64, ef=128",54.33983874320984,1729.9929246902466,64,128,0.947865329512894,124.25177234415173,7985.119,9035.86805,9626.5046,1.0040226
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=128, ef=16",54.33983874320984,1729.9929246902466,128,16,0.9498710601719198,185.11916048580386,5373.6835,5950.866749999999,6357.10312,1.0032381
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=128, ef=32",54.33983874320984,1729.9929246902466,128,32,0.9661318051575932,130.0650996857951,7655.564,8435.761799999998,8793.43825,1.0020533
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=128, ef=64",54.33983874320984,1729.9929246902466,128,64,0.9711318051575931,88.87885109876767,11157.497,12503.659649999998,13412.85823,1.001757
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=128, ef=128",54.33983874320984,1729.9929246902466,128,128,0.972320916905444,63.20950628666563,15728.2485,17215.95395,17889.9533,1.0016698
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=256, ef=16",54.33983874320984,1729.9929246902466,256,16,0.96432664756447,93.05268006721005,10695.3275,11630.8964,12200.09126,1.0020727
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=256, ef=32",54.33983874320984,1729.9929246902466,256,32,0.9810171919770774,64.3557689659337,15427.0795,17027.529049999997,18090.2664,1.000955
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=256, ef=64",54.33983874320984,1729.9929246902466,256,64,0.9861461318051575,43.93888168397737,22540.477,25157.216749999992,27019.740550000002,1.000657
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=256, ef=128",54.33983874320984,1729.9929246902466,256,128,0.9873782234957019,30.14379134319487,32655.5275,37688.0922,43545.559850000005,1.0005697
