Method,Parameters,Build_Time_s,Index_Size_MB,nprobe,efSearch,recall,qps,p50_us,p95_us,p99_us,dist_err_ratio
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=8, ef=16",25.888455629348755,752.4358377456665,8,16,0.8181300000000001,4281.256179404622,211.254,275.98419999999993,430.2051400000001,1.0069418
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=8, ef=32",25.888455629348755,752.4358377456665,8,32,0.83536,3201.9032389496756,304.6085,362.7965499999999,484.28569000000005,1.0063074
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=8, ef=64",25.888455629348755,752.4358377456665,8,64,0.8387300000000001,2187.461423912715,450.14,538.7777,658.44865,1.0062494
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=8, ef=128",25.888455629348755,752.4358377456665,8,128,0.8392800000000001,1510.602869500757,645.0305,841.87155,974.4469300000002,1.0062318
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=16, ef=16",25.888455629348755,752.4358377456665,16,16,0.9079400000000002,2404.320806074671,410.266,474.2702999999999,607.8302400000001,1.0022689
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=16, ef=32",25.888455629348755,752.4358377456665,16,32,0.9267,1649.442998958646,595.5535,698.9644,909.2255700000007,1.0017058
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=16, ef=64",25.888455629348755,752.4358377456665,16,64,0.93042,1058.056469914026,888.814,1092.2349999999997,1582.7349300000008,1.001652
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=16, ef=128",25.888455629348755,752.4358377456665,16,128,0.9310100000000002,707.803940948749,1316.013,1621.7113499999996,2422.110170000002,1.0016344
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=32, ef=16",25.888455629348755,752.4358377456665,32,16,0.95496,1161.798328179037,799.8595,1003.4318,1547.6653800000001,1.0009898
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=32, ef=32",25.888455629348755,752.4358377456665,32,32,0.9744300000000001,796.5930801153702,1170.568,1423.4378499999998,2209.451070000001,1.0004483
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=32, ef=64",25.888455629348755,752.4358377456665,32,64,0.97825,528.0040134438316,1764.531,2231.616049999998,4184.43669,1.000397
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=32, ef=128",25.888455629348755,752.4358377456665,32,128,0.9788800000000001,355.3260460721468,2635.1625,3282.0812999999985,10525.15311000001,1.0003793
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=64, ef=16",25.888455629348755,752.4358377456665,64,16,0.9707800000000001,596.6690443786873,1573.2545,1912.5113499999998,3146.7709600000126,1.000685
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=64, ef=32",25.888455629348755,752.4358377456665,64,32,0.99062,404.278626568705,2308.6525,2750.9299499999997,9897.592320000094,1.0001451
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=64, ef=64",25.888455629348755,752.4358377456665,64,64,0.9944599999999999,268.7149030566602,3490.1385,4040.4138499999995,14039.450570000025,1.0000933
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=64, ef=128",25.888455629348755,752.4358377456665,64,128,0.99513,187.99550987365757,5174.4505,6035.217049999999,9585.17822,1.0000732
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=128, ef=16",25.888455629348755,752.4358377456665,128,16,0.9744,311.9083439475181,3123.654,3570.7493,4973.969710000003,1.0006213
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=128, ef=32",25.888455629348755,752.4358377456665,128,32,0.99419,215.84535318517683,4540.363,5052.4992,6802.671730000003,1.0000807
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=128, ef=64",25.888455629348755,752.4358377456665,128,64,0.9980899999999999,147.97285367445886,6688.597,7425.933099999999,7906.69258,1.000029
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=128, ef=128",25.888455629348755,752.4358377456665,128,128,0.9987799999999999,98.22271591978827,10004.704,11220.043699999997,18351.247500000005,1.000009
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=256, ef=16",25.888455629348755,752.4358377456665,256,16,0.97472,159.89885125886371,6224.5545,6741.9118499999995,7078.329960000001,1.000613
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=256, ef=32",25.888455629348755,752.4358377456665,256,32,0.9944700000000001,110.47090459389858,9002.597,9721.1642,10516.770040000001,1.0000725
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=256, ef=64",25.888455629348755,752.4358377456665,256,64,0.99849,75.368081449134,13178.159,14363.710550000002,14930.57008,1.0000201
LSH-HNSW Hybrid (FAISS),"clusters=1024, nprobe=256, ef=128",25.888455629348755,752.4358377456665,256,128,0.99929,51.15489835214479,19334.173,21390.6645,22269.94927,1.0
