policy,stream_size,kept,retention_rate,throughput_items_per_sec,total_time_s,recall@10_mean,recall@10_p10,recall@10_p50,recall@10_p90,recall@10_zero_frac,recall@1_mean,recall@1_p10,recall@1_zero_frac,recall@100_mean,recall@100_p10,recall@100_zero_frac,coverage@10,coverage@100,mean_us,p50_us,p95_us,p99_us,p999_us,max_us,tail_ratio,k_center_radius,clusters_covered,coverage_fraction,cluster_entropy,mean_intra_set_distance,mean_nn_cosine,max_nn_cosine,p90_nn_cosine,cosine_diversity_score,cosine_coverage_radius,embeddings_mb,hash_metadata_mb,bucket_counts_mb,total_mb,overhead_fraction,kept_set_size,stream,budget_fraction,budget_B,policy_seen,policy_discarded,policy_active_buckets,policy_mean_bucket_occupancy,policy_max_bucket_occupancy
FIFO,2000000,20000,0.01,223637.8468371468,8.94303011894226,0.018140000000000003,0.0,0.0,0.1,0.8324,0.0088,0.0,0.9912,0.019563999999999998,0.0,0.1362,0.0183681921722924,0.019703744725882995,4.3176271945,4.181,4.527,5.92,19.83500700000115,1119.843,1.415929203539823,1.2391642332077026,20,1.0,2.931997257474839,1.0137234926223755,0.47731199860572815,1.0000001192092896,0.6217100024223328,0.5226880311965942,0.7677640914916992,30.72,0.2,0.032768,30.952768,0.007520102887082668,20000,HeavyDuplication_50,0.01,20000,,,,,
Reservoir,2000000,20000,0.01,920440.6515167791,2.172872304916382,0.01896,0.0,0.0,0.1,0.8252,0.0152,0.0,0.9848,0.019546,0.0,0.1446,0.018823773037896046,0.0194103955279326,0.9587192385,0.882,1.302,1.971,7.42300500000082,8545.118,2.2346938775510203,1.2446900606155396,20,1.0,2.9329532809299574,1.0108568668365479,0.4790293574333191,1.000000238418579,0.6345219016075134,0.5209706425666809,0.7746267318725586,30.72,0.2,0.032768,30.952768,0.007520102887082668,20000,HeavyDuplication_50,0.01,20000,,,,,
BucketOccupancy,2000000,20000,0.01,83178.0856027474,24.04479479789734,0.019280000000000002,0.0,0.0,0.1,0.822,0.0168,0.0,0.9832,0.019496,0.0,0.1468,0.019134396355353075,0.019632463612362337,12.0701364615,11.102,15.182049999999814,28.59601000000001,92.08601700000278,857.435,2.5757530174743297,1.2339138984680176,20,1.0,2.933505348531316,1.0226200819015503,0.47009971737861633,0.995629608631134,0.6154879331588745,0.529900312423706,0.7612717151641846,30.72,0.2,0.032768,30.952768,0.007520102887082668,20000,HeavyDuplication_50,0.01,20000,2000000.0,1967042.0,8192.0,19.9560546875,72.0
FIFO,2000000,100000,0.05,56827.31825308305,35.19434070587158,0.09124,0.0,0.1,0.2,0.3874,0.056,0.0,0.944,0.095694,0.06,0.0,0.09167529509215158,0.0956619959260102,17.890824172000002,17.614,21.638,29.863,175.41603900000638,7757.116,1.6954127398660157,1.175676941871643,20,1.0,2.931862928863389,1.0117104053497314,0.4784962832927704,1.000000238418579,0.6337037086486816,0.5215036869049072,0.6911081075668335,153.6,1.0,0.032768,154.632768,0.00667884312851465,100000,HeavyDuplication_50,0.05,100000,,,,,
Reservoir,2000000,100000,0.05,789053.0864055856,2.5346837043762207,0.09204000000000001,0.0,0.1,0.2,0.3806,0.0662,0.0,0.9338,0.09537799999999999,0.06,0.0,0.09273141437150549,0.09558523164991103,1.1294978435,0.91,2.202,2.691,11.254,13523.381,2.9571428571428573,1.1925796270370483,20,1.0,2.930765283023994,1.0169342756271362,0.4746990203857422,1.0000003576278687,0.6273594498634338,0.5253009796142578,0.7111231684684753,153.6,1.0,0.032768,154.632768,0.00667884312851465,100000,HeavyDuplication_50,0.05,100000,,,,,
BucketOccupancy,2000000,100000,0.05,74168.83062949275,26.965505361557007,0.09894,0.0,0.1,0.2,0.3548,0.083,0.0,0.917,0.09749200000000001,0.06,0.0,0.09881963139366329,0.09831858819529929,13.554759916,11.757,20.374,33.765,122.083,80155.93,2.871906098494514,1.172676920890808,20,1.0,2.931171709602691,1.025964617729187,0.46685758233070374,0.984544038772583,0.608953595161438,0.5331424474716187,0.6875854730606079,153.6,1.0,0.032768,154.632768,0.00667884312851465,100000,HeavyDuplication_50,0.05,100000,2000000.0,1810408.0,8192.0,112.857421875,432.0
FIFO,2000000,200000,0.1,26233.171063575883,76.23935341835022,0.1783,0.0,0.2,0.3,0.1384,0.1118,0.0,0.8882,0.185216,0.14,0.0,0.17823565955684406,0.18461534243721092,38.823729085,39.662,51.526,84.22604000000004,294.02808700001424,14237.169,2.1235953809691908,1.1429293155670166,20,1.0,2.931394962226215,1.0135143995285034,0.47703197598457336,1.0000003576278687,0.6272300481796265,0.522968053817749,0.6531437039375305,307.2,2.0,0.032768,309.232768,0.006573585371133761,200000,HeavyDuplication_50,0.1,200000,,,,,
Reservoir,2000000,200000,0.1,682045.5101477812,2.9323556423187256,0.1785,0.0,0.2,0.3,0.1456,0.1304,0.0,0.8696,0.18434199999999998,0.13,0.0,0.17887761441292194,0.18411089147998783,1.3202554235,0.946,2.429,4.376,12.025002000000327,12134.674,4.6257928118393234,1.179106593132019,20,1.0,2.9303582285520626,1.0181007385253906,0.47349852323532104,1.000000238418579,0.6196785569190979,0.526501476764679,0.6951462626457214,307.2,2.0,0.032768,309.232768,0.006573585371133761,200000,HeavyDuplication_50,0.1,200000,,,,,
BucketOccupancy,2000000,200000,0.1,64111.42020134357,31.195690155029297,0.19722000000000003,0.0,0.2,0.4,0.128,0.179,0.0,0.821,0.195596,0.14,0.0,0.1968316421619383,0.19685101973116054,15.6986617305,13.295,23.727,39.174,140.5360050000008,127419.497,2.946521248589695,1.167649745941162,20,1.0,2.9309568776911696,1.0203807353973389,0.4725492298603058,0.9887781143188477,0.6167047619819641,0.5274507999420166,0.6817029118537903,307.2,2.0,0.032768,309.232768,0.006573585371133761,200000,HeavyDuplication_50,0.1,200000,2000000.0,1520347.0,8192.0,269.7744140625,951.0
FIFO,2000000,500000,0.25,6976.857300024189,286.6620190143585,0.40346,0.2,0.4,0.6,0.006,0.2878,0.0,0.7122,0.41371800000000003,0.35,0.0,0.40331331538620835,0.41379783031256767,145.94912831850002,186.091,205.526,283.98301000000004,686.6710500000082,10265.743,1.5260437635350448,1.1110405921936035,20,1.0,2.93114621476047,1.0096240043640137,0.4808276295661926,1.000000238418579,0.6353792548179626,0.5191723704338074,0.6172055602073669,768.0,5.0,0.032768,773.032768,0.006510420008482745,500000,HeavyDuplication_50,0.25,500000,,,,,
