policy,stream_size,kept,retention_rate,throughput_items_per_sec,total_time_s,recall@10_mean,recall@10_p10,recall@10_p50,recall@10_p90,recall@10_zero_frac,recall@1_mean,recall@1_p10,recall@1_zero_frac,recall@100_mean,recall@100_p10,recall@100_zero_frac,coverage@10,coverage@100,mean_us,p50_us,p95_us,p99_us,p999_us,max_us,tail_ratio,k_center_radius,clusters_covered,coverage_fraction,cluster_entropy,mean_intra_set_distance,embeddings_mb,hash_metadata_mb,bucket_counts_mb,total_mb,overhead_fraction,kept_set_size,stream,budget_fraction,budget_B,policy_seen,policy_discarded,policy_active_buckets,policy_mean_bucket_occupancy,policy_max_bucket_occupancy
FIFO,1000000,10000,0.01,433186.18395280285,2.308476209640503,0.00876,0.0,0.0,0.0,0.9158,0.0,0.0,1.0,0.009824000000000001,0.0,0.3608,0.008593911782977842,0.009743579902015884,2.168603048,2.076,2.367,3.028,12.993012000001967,614.387,1.4585741811175337,1.2376697063446045,20,1.0,2.9381061327714146,1.0220258235931396,15.36,0.1,0.032768,15.492768,0.008569675864248403,10000,CleanStream_0,0.01,10000,,,,,
Reservoir,1000000,10000,0.01,946618.3416241069,1.056391954421997,0.0099,0.0,0.0,0.0,0.9044,0.0086,0.0,0.9914,0.009946,0.0,0.367,0.009877821495133568,0.009976614311602646,0.929327452,0.869,1.198,1.896,6.9830150000024585,358.203,2.1818181818181817,1.2363706827163696,20,1.0,2.941511827242837,1.018266201019287,15.36,0.1,0.032768,15.492768,0.008569675864248403,10000,CleanStream_0,0.01,10000,,,,,
Stream-LSH,1000000,10000,0.01,444856.1062681452,2.247917890548706,0.00876,0.0,0.0,0.0,0.9158,0.0,0.0,1.0,0.009824000000000001,0.0,0.3608,0.008593911782977842,0.009743579902015884,2.1102947170000004,2.027,2.276,2.988,13.849,952.588,1.4740996546620622,1.2376697063446045,20,1.0,2.9381061327714146,1.0220258235931396,15.36,0.1,0.032768,15.492768,0.008569675864248403,10000,CleanStream_0,0.01,10000,,,,,
BucketOccupancy,1000000,10000,0.01,82250.15404607894,12.158031940460205,0.10828,0.1,0.1,0.1,0.0048,0.994,1.0,0.006,0.019159999999999996,0.01,0.0022,0.10735141851314972,0.018363111475436802,11.975140574,11.15,14.459,27.371,76.49100100000017,1068.155,2.454798206278027,1.2298088073730469,20,1.0,2.9377318205110754,1.0275061130523682,15.36,0.1,0.032768,15.492768,0.008569675864248403,10000,CleanStream_0,0.01,10000,1000000.0,983852.0,8192.0,9.765625,35.0
SemanticDedup (eps=0.1),1000000,10000,0.01,617844.2099569411,1.6185309886932373,0.1084,0.1,0.1,0.1,0.0,0.9976,1.0,0.0024,0.019422,0.01,0.0,0.10753779250362394,0.01852486477150291,1.515568504,0.162,0.185,7.051140000000131,238.33703200000525,1328.164,43.52555555555636,1.2460345029830933,20,1.0,2.9382917545450624,1.0210334062576294,15.36,0.1,0.032768,15.492768,0.008569675864248403,10000,CleanStream_0,0.01,10000,,,,,
FIFO,1000000,50000,0.05,110386.07692946614,9.059113502502441,0.04478,0.0,0.0,0.1,0.6282,0.0,0.0,1.0,0.048848,0.02,0.007,0.04483329881963139,0.04881111327391413,8.899441287,8.993,9.718,16.861,42.70606400001049,895.557,1.8749027021016347,1.2022125720977783,20,1.0,2.9407404902543064,1.0232714414596558,76.8,0.5,0.032768,77.332768,0.0068892917424085995,50000,CleanStream_0,0.05,50000,,,,,
Reservoir,1000000,50000,0.05,837738.2307707672,1.193690299987793,0.04852,0.0,0.0,0.1,0.61,0.05,0.0,0.95,0.050089999999999996,0.02,0.0042,0.04885069372540899,0.050190128662409905,1.055056567,0.919,1.788,2.174,8.965018000002951,506.648,2.365614798694233,1.1825220584869385,20,1.0,2.9423177356274257,1.017876148223877,76.8,0.5,0.032768,77.332768,0.0068892917424085995,50000,CleanStream_0,0.05,50000,,,,,
Stream-LSH,1000000,50000,0.05,110884.7664282817,9.018371343612671,0.04478,0.0,0.0,0.1,0.6282,0.0,0.0,1.0,0.048848,0.02,0.007,0.04483329881963139,0.04881111327391413,8.861873652,8.959,9.863,14.528,41.67207500001229,2084.133,1.6216095546377944,1.2022125720977783,20,1.0,2.9407404902543064,1.0232714414596558,76.8,0.5,0.032768,77.332768,0.0068892917424085995,50000,CleanStream_0,0.05,50000,,,,,
BucketOccupancy,1000000,50000,0.05,79096.51249452338,12.64278244972229,0.14454,0.1,0.1,0.2,0.0,0.9988,1.0,0.0012,0.05747000000000001,0.03,0.0,0.14361151377096706,0.05714003723067391,12.451676448,11.253,18.479,29.08901000000001,82.04404000000656,1237.847,2.585000444325958,1.1868940591812134,20,1.0,2.9425350577834597,1.023461103439331,76.8,0.5,0.032768,77.332768,0.0068892917424085995,50000,CleanStream_0,0.05,50000,1000000.0,919049.0,8192.0,48.828125,181.0
SemanticDedup (eps=0.1),1000000,50000,0.05,14380.481391872654,69.53870129585266,0.14334000000000002,0.1,0.1,0.2,0.0,0.9976,1.0,0.0024,0.05865,0.03,0.0,0.1427417684820874,0.05786929785361601,69.343719688,0.164,14.012649999997695,2435.2188600000018,3252.252659000108,8188.206,14848.895487804888,1.2223221063613892,20,1.0,2.9429993981779448,1.0216410160064697,76.8,0.5,0.032768,77.332768,0.0068892917424085995,50000,CleanStream_0,0.05,50000,,,,,
