policy,stream_size,kept,retention_rate,throughput_items_per_sec,total_time_s,recall@10_mean,recall@10_p10,recall@10_p50,recall@10_p90,recall@10_zero_frac,recall@1_mean,recall@1_p10,recall@1_zero_frac,recall@100_mean,recall@100_p10,recall@100_zero_frac,coverage@10,coverage@100,mean_us,p50_us,p95_us,p99_us,p999_us,max_us,tail_ratio,k_center_radius,clusters_covered,coverage_fraction,cluster_entropy,mean_intra_set_distance,embeddings_mb,hash_metadata_mb,bucket_counts_mb,total_mb,overhead_fraction,kept_set_size,stream,budget_fraction,budget_B,policy_seen,policy_discarded,policy_active_buckets,policy_mean_bucket_occupancy,policy_max_bucket_occupancy
FIFO,2000000,20000,0.01,239045.7352136864,8.366599798202515,0.01814,0.0,0.0,0.1,0.8324,0.0088,0.0,0.9912,0.0195639999999999,0.0,0.1362,0.0183681921722924,0.0197037447258829,4.0338608385,3.935,4.255,5.047,16.600001000000162,4712.537,1.282592121982211,1.2391642332077026,20,1.0,2.931997257474839,1.0137234926223757,30.72,0.2,0.032768,30.952768,0.0075201028870826,20000,HeavyDuplication_50,0.01,20000,,,,,
Reservoir,2000000,20000,0.01,904475.1346128696,2.2112271785736084,0.01896,0.0,0.0,0.1,0.8252,0.0152,0.0,0.9848,0.019546,0.0,0.1446,0.018823773037896,0.0194103955279326,0.9745803595,0.903,1.329,2.028,8.170004000000656,990.982,2.2458471760797343,1.2446900606155396,20,1.0,2.932953280929957,1.010856866836548,30.72,0.2,0.032768,30.952768,0.0075201028870826,20000,HeavyDuplication_50,0.01,20000,,,,,
Stream-LSH,2000000,20000,0.01,238695.69145383112,8.37886929512024,0.01814,0.0,0.0,0.1,0.8324,0.0088,0.0,0.9912,0.0195639999999999,0.0,0.1362,0.0183681921722924,0.0197037447258829,4.0424275535000005,3.947,4.286,5.033,15.664016000002622,7573.231,1.2751456802634913,1.2391642332077026,20,1.0,2.931997257474839,1.0137234926223757,30.72,0.2,0.032768,30.952768,0.0075201028870826,20000,HeavyDuplication_50,0.01,20000,,,,,
BucketOccupancy,2000000,20000,0.01,84464.82538168099,23.67849564552307,0.01928,0.0,0.0,0.1,0.822,0.0168,0.0,0.9832,0.019496,0.0,0.1468,0.019134396355353,0.0196324636123623,11.6574543455,10.921,14.114,24.509,70.48400100000016,8304.853,2.2442084058236427,1.2339138984680176,20,1.0,2.933505348531316,1.0226200819015503,30.72,0.2,0.032768,30.952768,0.0075201028870826,20000,HeavyDuplication_50,0.01,20000,2000000.0,1967042.0,8192.0,19.9560546875,72.0
SemanticDedup (eps=0.1),2000000,20000,0.01,273549.1175517237,7.311301231384277,0.02012,0.0,0.0,0.1,0.8142,0.018,0.0,0.982,0.019994,0.0,0.132,0.0199006005384137,0.0199587117857838,3.5447720965,0.169,0.191,9.910030000000027,681.9070020000004,2969.325,58.63923076923093,1.233247995376587,20,1.0,2.9336376333757435,1.023637771606445,30.72,0.2,0.032768,30.952768,0.0075201028870826,20000,HeavyDuplication_50,0.01,20000,,,,,
FIFO,2000000,100000,0.05,58000.80141507273,34.48228216171265,0.09124,0.0,0.1,0.2,0.3874,0.056,0.0,0.944,0.095694,0.06,0.0,0.0916752950921515,0.0956619959260102,17.064026583,17.249,18.998,26.068,103.4670250000041,5323.047,1.5112760160009275,1.175676941871643,20,1.0,2.931862928863389,1.0117104053497314,153.6,1.0,0.032768,154.632768,0.0066788431285146,100000,HeavyDuplication_50,0.05,100000,,,,,
Reservoir,2000000,100000,0.05,810076.7479533476,2.468901872634888,0.09204,0.0,0.1,0.2,0.3806,0.0662,0.0,0.9338,0.0953779999999999,0.06,0.0,0.0927314143715054,0.095585231649911,1.0959761585,0.915,2.059,2.464,9.437002000000328,11444.63,2.692896174863388,1.1925796270370483,20,1.0,2.930765283023994,1.0169342756271362,153.6,1.0,0.032768,154.632768,0.0066788431285146,100000,HeavyDuplication_50,0.05,100000,,,,,
Stream-LSH,2000000,100000,0.05,57134.40650280275,35.00517678260803,0.09124,0.0,0.1,0.2,0.3874,0.056,0.0,0.944,0.095694,0.06,0.0,0.0916752950921515,0.0956619959260102,17.300013762,17.301,19.879,27.478,119.46808000001312,13174.592,1.588231894110167,1.175676941871643,20,1.0,2.931862928863389,1.0117104053497314,153.6,1.0,0.032768,154.632768,0.0066788431285146,100000,HeavyDuplication_50,0.05,100000,,,,,
BucketOccupancy,2000000,100000,0.05,77602.43111497989,25.77238845825196,0.09894,0.0,0.1,0.2,0.3548,0.083,0.0,0.917,0.097492,0.06,0.0,0.0988196313936632,0.0983185881952992,12.676271104,11.088,18.69,29.654,96.61901000000164,59084.392,2.6744227994228,1.172676920890808,20,1.0,2.931171709602691,1.025964617729187,153.6,1.0,0.032768,154.632768,0.0066788431285146,100000,HeavyDuplication_50,0.05,100000,2000000.0,1810408.0,8192.0,112.857421875,432.0
SemanticDedup (eps=0.1),2000000,100000,0.05,6585.170361368591,303.7127196788788,0.0971,0.0,0.1,0.2,0.3464,0.0784,0.0,0.9216,0.098302,0.06,0.0,0.0969144750465934,0.0988340054776794,151.5944261395,0.168,174.28249999999815,4670.220270000001,6461.454039000007,59159.348,27798.93017857143,1.2052940130233765,20,1.0,2.931297576842668,1.0263463258743286,153.6,1.0,0.032768,154.632768,0.0066788431285146,100000,HeavyDuplication_50,0.05,100000,,,,,
