policy,stream_size,kept,retention_rate,throughput_items_per_sec,total_time_s,recall@10_mean,recall@10_p10,recall@10_p50,recall@10_p90,recall@10_zero_frac,recall@1_mean,recall@1_p10,recall@1_zero_frac,recall@100_mean,recall@100_p10,recall@100_zero_frac,coverage@10,coverage@100,mean_us,p50_us,p95_us,p99_us,p999_us,max_us,tail_ratio,k_center_radius,clusters_covered,coverage_fraction,cluster_entropy,mean_intra_set_distance,embeddings_mb,hash_metadata_mb,bucket_counts_mb,total_mb,overhead_fraction,kept_set_size,stream,budget_fraction,budget_B,policy_seen,policy_discarded,policy_active_buckets,policy_mean_bucket_occupancy,policy_max_bucket_occupancy
FIFO,1000000,10000,0.01,438669.9829136097,2.27961802482605,0.011080000000000001,0.0,0.0,0.0,0.93,0.0088,0.0,0.9912,0.01099,0.0,0.7654,0.011203147649616899,0.010722324422280282,2.1406039740000002,2.081,2.327,2.667,11.924002000000328,470.458,1.2815953868332532,1.2996432781219482,20,1.0,2.190737388496407,0.8044398427009583,15.36,0.1,0.032768,15.492768,0.008569675864248403,10000,TopicDrift,0.01,10000,,,,,
Reservoir,1000000,10000,0.01,926500.9320666033,1.0793297290802002,0.009880000000000002,0.0,0.0,0.0,0.905,0.007,0.0,0.993,0.009975999999999999,0.0,0.3682,0.009960654379788776,0.009845018409718357,0.9511464479999999,0.887,1.251,1.886,7.128019000003114,332.147,2.126268320180383,1.238944411277771,20,1.0,2.9662750456096942,1.0187196731567383,15.36,0.1,0.032768,15.492768,0.008569675864248403,10000,TopicDrift,0.01,10000,,,,,
Stream-LSH,1000000,10000,0.01,438554.12263798894,2.2802202701568604,0.011080000000000001,0.0,0.0,0.0,0.93,0.0088,0.0,0.9912,0.01099,0.0,0.7654,0.011203147649616899,0.010722324422280282,2.140105329,2.056,2.392,3.007,12.687003000000491,678.394,1.4625486381322956,1.2996432781219482,20,1.0,2.190737388496407,0.8044398427009583,15.36,0.1,0.032768,15.492768,0.008569675864248403,10000,TopicDrift,0.01,10000,,,,,
BucketOccupancy,1000000,10000,0.01,79342.46698067915,12.603590965270996,0.008860000000000002,0.0,0.0,0.0,0.9216,0.0074,0.0,0.9926,0.008020000000000001,0.0,0.6398,0.008842410436943466,0.008446811952197788,12.413054887,11.382,15.539,26.20101000000001,79.17301900000311,195044.596,2.301968898260412,1.2708604335784912,20,1.0,2.5687693022327514,1.0010299682617188,15.36,0.1,0.032768,15.492768,0.008569675864248403,10000,TopicDrift,0.01,10000,1000000.0,974372.0,8192.0,9.765625,76.0
SemanticDedup (eps=0.1),1000000,10000,0.01,568960.6572009544,1.7575907707214355,0.00858,0.0,0.0,0.0,0.9438,0.0092,0.0,0.9908,0.008396,0.0,0.8358,0.008635328225305446,0.008704520593387855,1.65153956,0.168,0.193,10.145060000000056,259.64900900000146,1235.085,60.38726190476224,1.3084243535995483,20,1.0,2.209829773597373,0.9300821423530579,15.36,0.1,0.032768,15.492768,0.008569675864248403,10000,TopicDrift,0.01,10000,,,,,
FIFO,1000000,50000,0.05,109871.44610363159,9.101545810699463,0.05412,0.0,0.0,0.1,0.845,0.0528,0.0,0.9472,0.054268000000000004,0.0,0.5206,0.05425553944916132,0.053406003514707215,8.942704684,9.006,9.912,16.21201000000001,47.940005000000816,849.85,1.8001343548745292,1.249420166015625,20,1.0,2.957692707990604,0.8175927996635437,76.8,0.5,0.032768,77.332768,0.0068892917424085995,50000,TopicDrift,0.05,50000,,,,,
Reservoir,1000000,50000,0.05,818545.4833576434,1.2216792106628418,0.05248,0.0,0.0,0.1,0.58,0.056,0.0,0.944,0.0502,0.02,0.0056,0.05239179954441914,0.05003934169150082,1.0843387740000001,0.926,1.886,2.333,10.541002000000327,560.159,2.519438444924406,1.2107375860214233,20,1.0,2.964916710995256,1.0185389518737793,76.8,0.5,0.032768,77.332768,0.0068892917424085995,50000,TopicDrift,0.05,50000,,,,,
Stream-LSH,1000000,50000,0.05,110721.35887761494,9.031681060791016,0.05412,0.0,0.0,0.1,0.845,0.0528,0.0,0.9472,0.054268000000000004,0.0,0.5206,0.05425553944916132,0.053406003514707215,8.874747766,8.953,9.765,15.862010000000009,48.10400500000082,738.681,1.7716977549424784,1.249420166015625,20,1.0,2.957692707990604,0.8175927996635437,76.8,0.5,0.032768,77.332768,0.0068892917424085995,50000,TopicDrift,0.05,50000,,,,,
BucketOccupancy,1000000,50000,0.05,69930.23805585488,14.299965620040894,0.04504,0.0,0.0,0.1,0.7446,0.0458,0.0,0.9542,0.04186,0.0,0.2286,0.04518533857941603,0.04368161468171612,14.086915243,12.129,23.398,34.41,138.33919300003163,66408.557,2.83700222606975,1.206771969795227,20,1.0,2.853393597174045,1.0005890130996704,76.8,0.5,0.032768,77.332768,0.0068892917424085995,50000,TopicDrift,0.05,50000,1000000.0,882321.0,8192.0,48.828125,373.0
SemanticDedup (eps=0.1),1000000,50000,0.05,12788.477647205793,78.19539022445679,0.0425,0.0,0.0,0.1,0.8832,0.0444,0.0,0.9556,0.042241999999999995,0.0,0.698,0.04263822737626838,0.04410107661897229,77.96855747299999,0.17,169.75069999999903,2287.141,2872.2470160000025,7065.165,13453.770588235295,1.2939883470535278,20,1.0,2.9643966537156685,0.9378324151039124,76.8,0.5,0.032768,77.332768,0.0068892917424085995,50000,TopicDrift,0.05,50000,,,,,
FIFO,1000000,100000,0.1,59176.55040248495,16.898585557937622,0.10302,0.0,0.0,0.4,0.714,0.1024,0.0,0.8976,0.103344,0.0,0.3136,0.10302340028991509,0.1020389140048197,16.718276802000002,17.393,20.73704999999993,28.594,156.65017800002917,2582.28,1.6439947105157247,1.2320016622543335,20,1.0,2.9477526633913933,0.8923775553703308,153.6,1.0,0.032768,154.632768,0.00667884312851465,100000,TopicDrift,0.1,100000,,,,,
Reservoir,1000000,100000,0.1,763883.0786299984,1.309100866317749,0.10154,0.0,0.1,0.2,0.3428,0.1048,0.0,0.8952,0.099656,0.06,0.0,0.10178090702008698,0.0997579183721587,1.167773982,0.925,2.136,2.477,10.641003000000492,576.832,2.677837837837838,1.184650182723999,20,1.0,2.9657121709721324,1.0191513299942017,153.6,1.0,0.032768,154.632768,0.00667884312851465,100000,TopicDrift,0.1,100000,,,,,
Stream-LSH,1000000,100000,0.1,61087.60535082229,16.369932889938354,0.10302,0.0,0.0,0.4,0.714,0.1024,0.0,0.8976,0.103344,0.0,0.3136,0.10302340028991509,0.1020389140048197,16.192777635,17.203,18.929,26.199,99.79731000005081,749.16,1.5229320467360343,1.2320016622543335,20,1.0,2.9477526633913933,0.8923775553703308,153.6,1.0,0.032768,154.632768,0.00667884312851465,100000,TopicDrift,0.1,100000,,,,,
BucketOccupancy,1000000,100000,0.1,70495.48752332073,14.185305118560791,0.08878000000000001,0.0,0.0,0.3,0.6198,0.0854,0.0,0.9146,0.083718,0.0,0.1136,0.08933526610064195,0.08771963493103552,13.964397045,12.001,22.952,31.44901000000001,103.16905300000869,65772.705,2.620532455628698,1.1765215396881104,20,1.0,2.936321058735449,1.0161648988723755,153.6,1.0,0.032768,154.632768,0.00667884312851465,100000,TopicDrift,0.1,100000,1000000.0,808920.0,8192.0,97.65625,704.0
FIFO,1000000,250000,0.25,17318.61602658566,57.741334438323975,0.2696,0.0,0.0,1.0,0.501,0.2598,0.0,0.7402,0.277432,0.0,0.1554,0.26891696003313315,0.2687462474606103,57.402126205,71.841,85.167,102.86602000000002,361.42241900006866,1004.006,1.431856739187929,1.2320016622543335,20,1.0,2.9634334996050096,0.90097975730896,384.0,2.5,0.032768,386.532768,0.006552531142715434,250000,TopicDrift,0.25,250000,,,,,
Reservoir,1000000,250000,0.25,719441.6823629322,1.3899667263031006,0.24791999999999997,0.1,0.2,0.4,0.054,0.2538,0.0,0.7462,0.249336,0.19,0.0,0.24810519776351211,0.2495442121106612,1.245498476,0.932,2.2,2.494,10.000002000000327,481.943,2.6759656652360513,1.1529330015182495,20,1.0,2.965393843476052,1.019897222518921,384.0,2.5,0.032768,386.532768,0.006552531142715434,250000,TopicDrift,0.25,250000,,,,,
Stream-LSH,1000000,250000,0.25,17298.42487604746,57.80873155593872,0.2696,0.0,0.0,1.0,0.501,0.2598,0.0,0.7402,0.277432,0.0,0.1554,0.26891696003313315,0.2687462474606103,57.468142220000004,72.316,85.01704999999993,98.43601000000001,361.0190070000011,1902.008,1.3611926821173739,1.2320016622543335,20,1.0,2.9634334996050096,0.90097975730896,384.0,2.5,0.032768,386.532768,0.006552531142715434,250000,TopicDrift,0.25,250000,,,,,
BucketOccupancy,1000000,250000,0.25,62496.515185239565,16.000892162322998,0.23328000000000002,0.0,0.1,0.7,0.3312,0.234,0.0,0.766,0.224298,0.03,0.0186,0.2338165251604887,0.23127705598034834,15.760784101999999,13.35,24.138,33.91401000000001,106.36601600000262,132311.9,2.540375280898877,1.1375254392623901,20,1.0,2.9616681685820123,1.0247787237167358,384.0,2.5,0.032768,386.532768,0.006552531142715434,250000,TopicDrift,0.25,250000,1000000.0,604682.0,8192.0,244.140625,1385.0
FIFO,1000000,500000,0.5,10546.565166812743,94.81760025024414,0.52244,0.0,0.6,1.0,0.233,0.5148,0.0,0.4852,0.5301100000000001,0.03,0.0482,0.5219921308759577,0.5222767187658498,94.404185331,157.4195,194.783,229.3230900000001,619.8562340000384,1678.578,1.4567641874100736,1.1928112506866455,20,1.0,2.9642706161508117,0.9684873819351196,768.0,5.0,0.032768,773.032768,0.006510420008482745,500000,TopicDrift,0.5,500000,,,,,
Reservoir,1000000,500000,0.5,640719.0687180208,1.560746431350708,0.50198,0.3,0.5,0.7,0.0016,0.4926,0.0,0.5074,0.500922,0.44,0.0,0.5018430316835784,0.5004838890975537,1.400036512,0.956,2.509,3.786,13.707021000003442,1706.03,3.9602510460251046,1.1326724290847778,20,1.0,2.9650776128631815,1.0186420679092407,768.0,5.0,0.032768,773.032768,0.006510420008482745,500000,TopicDrift,0.5,500000,,,,,
Stream-LSH,1000000,500000,0.5,10351.19056334611,96.60724472999573,0.52244,0.0,0.6,1.0,0.233,0.5148,0.0,0.4852,0.5301100000000001,0.03,0.0482,0.5219921308759577,0.5222767187658498,96.097108112,156.358,198.818,245.1561200000001,707.2440170000028,14170.346,1.5679154248583387,1.1928112506866455,20,1.0,2.9642706161508117,0.9684873819351196,768.0,5.0,0.032768,773.032768,0.006510420008482745,500000,TopicDrift,0.5,500000,,,,,
BucketOccupancy,1000000,500000,0.5,43479.806363645024,22.99918246269226,0.48174000000000006,0.0,0.4,1.0,0.1152,0.482,0.0,0.518,0.47213600000000006,0.11,0.0008,0.481693932491199,0.4795217585599022,22.671499774,17.937,40.41504999999993,64.26201,178.94509000001474,223683.385,3.5826509449740764,1.1368931531906128,20,1.0,2.9660901468503686,1.025124430656433,768.0,5.0,0.032768,773.032768,0.006510420008482745,500000,TopicDrift,0.5,500000,1000000.0,353538.0,8192.0,488.28125,2362.0
BucketOccupancy,1000000,1000000,1.0,55151.492694376975,18.13187551498413,0.9999,1.0,1.0,1.0,0.0,0.998,1.0,0.002,0.9999880000000001,1.0,0.0,1.0,1.0,17.880847677000002,14.381,23.58904999999993,43.07,156.6974100000672,375065.318,2.99492385786802,0.001035800902172923,20,1.0,2.965256169401639,1.0200494527816772,1536.0,10.0,0.032768,1546.032768,0.006489363102554887,1000000,TopicDrift,1.0,1000000,1000000.0,0.0,8192.0,976.5625,4424.0
FIFO (Oracle Upper Bound),1000000,1000000,1.0,691584.5503888521,1.4459547996520996,0.9999,1.0,1.0,1.0,0.0,0.998,1.0,0.002,0.9999880000000001,1.0,0.0,1.0,1.0,1.207139786,0.664,2.378,10.99501000000001,22.99600500000082,12639.526,16.558750000000014,0.001035800902172923,20,1.0,2.965256169401639,1.0200494527816772,1536.0,10.0,0.032768,1546.032768,0.006489363102554887,1000000,TopicDrift,1.0,1000000,,,,,
