conversation_id,policy,budget_fraction,budget_B,n_turns,n_questions,accuracy,correct,total
conv-26,BucketOccupancy,0.1,41,419,154,0.032467532467532464,5.0,154
conv-26,FIFO,0.1,41,419,154,0.025974025974025976,4.0,154
conv-26,Reservoir,0.1,41,419,154,0.032467532467532464,5.0,154
conv-26,BucketOccupancy,0.25,104,419,154,0.07792207792207792,12.0,154
conv-26,FIFO,0.25,104,419,154,0.05194805194805195,8.0,154
conv-26,Reservoir,0.25,104,419,154,0.05194805194805195,8.0,154
conv-26,BucketOccupancy,0.5,209,419,154,0.1038961038961039,16.0,154
conv-26,FIFO,0.5,209,419,154,0.07792207792207792,12.0,154
conv-26,Reservoir,0.5,209,419,154,0.07792207792207792,12.0,154
conv-26,BucketOccupancy,1.0,419,419,154,0.16233766233766234,25.0,154
conv-26,FIFO,1.0,419,419,154,0.15584415584415584,24.0,154
conv-26,Reservoir,1.0,419,419,154,0.15584415584415584,24.0,154
conv-30,BucketOccupancy,0.1,36,369,81,0.037037037037037035,3.0,81
conv-30,FIFO,0.1,36,369,81,0.012345679012345678,1.0,81
conv-30,Reservoir,0.1,36,369,81,0.04938271604938271,4.0,81
conv-30,BucketOccupancy,0.25,92,369,81,0.08641975308641975,7.0,81
conv-30,FIFO,0.25,92,369,81,0.012345679012345678,1.0,81
conv-30,Reservoir,0.25,92,369,81,0.1111111111111111,9.0,81
conv-30,BucketOccupancy,0.5,184,369,81,0.13580246913580246,11.0,81
conv-30,FIFO,0.5,184,369,81,0.1111111111111111,9.0,81
conv-30,Reservoir,0.5,184,369,81,0.09876543209876543,8.0,81
conv-30,BucketOccupancy,1.0,369,369,81,0.1111111111111111,9.0,81
conv-30,FIFO,1.0,369,369,81,0.12345679012345678,10.0,81
conv-30,Reservoir,1.0,369,369,81,0.12345679012345678,10.0,81
conv-41,BucketOccupancy,0.1,66,663,152,0.046052631578947366,7.0,152
conv-41,FIFO,0.1,66,663,152,0.05263157894736842,8.0,152
conv-41,Reservoir,0.1,66,663,152,0.05921052631578947,9.0,152
conv-41,BucketOccupancy,0.25,165,663,152,0.07894736842105263,12.0,152
conv-41,FIFO,0.25,165,663,152,0.039473684210526314,6.0,152
conv-41,Reservoir,0.25,165,663,152,0.05921052631578947,9.0,152
conv-41,BucketOccupancy,0.5,331,663,152,0.125,19.0,152
conv-41,FIFO,0.5,331,663,152,0.09210526315789473,14.0,152
conv-41,Reservoir,0.5,331,663,152,0.11842105263157894,18.0,152
conv-41,BucketOccupancy,1.0,663,663,152,0.20394736842105263,31.0,152
conv-41,FIFO,1.0,663,663,152,0.20394736842105263,31.0,152
