policy,stream_size,kept,retention_rate,throughput_items_per_sec,total_time_s,recall@10_mean,recall@10_p10,recall@10_p50,recall@10_p90,recall@10_zero_frac,recall@1_mean,recall@1_p10,recall@1_zero_frac,recall@100_mean,recall@100_p10,recall@100_zero_frac,coverage@10,coverage@100,mean_us,p50_us,p95_us,p99_us,p999_us,max_us,tail_ratio,k_center_radius,clusters_covered,coverage_fraction,cluster_entropy,mean_intra_set_distance,embeddings_mb,hash_metadata_mb,bucket_counts_mb,total_mb,overhead_fraction,kept_set_size,budget_fraction,d_new,items_capacity,memory_footprint_floats,policy_seen,policy_discarded,policy_active_buckets,policy_mean_bucket_occupancy,policy_max_bucket_occupancy
"FIFO (Baseline, d=384)",2000000,20000,0.01,239111.7068137422,8.364291429519653,0.018140000000000003,0.0,0.0,0.1,0.8324,0.0088,0.0,0.9912,0.019563999999999998,0.0,0.1362,0.0183681921722924,0.019703744725882995,4.0388158725,3.947,4.259,4.975,15.581004000000656,13418.236,1.260450975424373,1.2391642332077026,20,1.0,2.931997257474839,1.0137234926223755,30.72,0.2,0.032768,30.952768,0.007520102887082668,20000,0.01,384,20000,7680000,,,,,
"BucketOccupancy (Baseline, d=384)",2000000,20000,0.01,81732.87003989148,24.469959259033203,0.019280000000000002,0.0,0.0,0.1,0.822,0.0168,0.0,0.9832,0.019496,0.0,0.1468,0.019134396355353075,0.019632463612362337,12.0355645845,11.114,15.24,30.132010000000008,83.78801000000163,25511.701,2.711175994241498,1.2339138984680176,20,1.0,2.933505348531316,1.0226200819015503,30.72,0.2,0.032768,30.952768,0.007520102887082668,20000,0.01,384,20000,7680000,2000000.0,1967042.0,8192.0,19.9560546875,72.0
BucketOccupancy + JL (d=128),2000000,60000,0.03,87084.01941978217,22.966326236724854,0.055119999999999995,0.0,0.0,0.2,0.5718,0.0484,0.0,0.9516,0.05391,0.02,0.009,0.05767239594118865,0.05863968219589695,11.2957580705,10.232,16.11,26.155010000000008,79.24900300000049,42558.876,2.556197224394059,1.1155469417572021,20,1.0,2.930775857405202,0.9832333922386169,30.72,0.6,0.032768,31.352768,0.020182205284075716,60000,0.01,128,60000,7680000,2000000.0,1872445.0,8192.0,66.8046875,261.0
BucketOccupancy + JL (d=64),2000000,120000,0.06,81093.56079208282,24.66287064552307,0.09708,0.0,0.1,0.2,0.3878,0.1056,0.0,0.8944,0.080486,0.03,0.0044,0.11987989231724995,0.11834035635073598,12.118036082500002,10.462,18.204,27.239020000000018,87.23501300000213,111666.804,2.6036149875740793,1.047025442123413,20,1.0,2.930223235870886,0.936565637588501,30.72,1.2,0.032768,31.952768,0.03858094547552187,120000,0.01,64,120000,7680000,2000000.0,1639900.0,8192.0,165.958984375,874.0
"FIFO (Baseline, d=384)",2000000,100000,0.05,57276.53406002528,34.91831398010254,0.09124,0.0,0.1,0.2,0.3874,0.056,0.0,0.944,0.095694,0.06,0.0,0.09167529509215158,0.0956619959260102,17.273240801500002,17.287,19.239,27.87101000000001,144.30100700000114,1097.968,1.612252559726963,1.175676941871643,20,1.0,2.931862928863389,1.0117104053497314,153.6,1.0,0.032768,154.632768,0.00667884312851465,100000,0.05,384,100000,38400000,,,,,
"BucketOccupancy (Baseline, d=384)",2000000,100000,0.05,76841.10534825253,26.027735948562622,0.09894,0.0,0.1,0.2,0.3548,0.083,0.0,0.917,0.09749200000000001,0.06,0.0,0.09881963139366329,0.09831858819529929,12.80922653,11.463,18.601,29.70302000000002,88.56901800000296,71745.578,2.591208235191487,1.172676920890808,20,1.0,2.931171709602691,1.025964617729187,153.6,1.0,0.032768,154.632768,0.00667884312851465,100000,0.05,384,100000,38400000,2000000.0,1810408.0,8192.0,112.857421875,432.0
BucketOccupancy + JL (d=128),2000000,300000,0.15,61228.600483667964,32.66447353363037,0.25884,0.1,0.2,0.5,0.071,0.307,0.0,0.693,0.225636,0.13,0.0002,0.2989645889418099,0.2955945530262945,16.072233319000002,13.635,22.588,34.646,94.503,343475.034,2.540960762742941,1.0550665855407715,20,1.0,2.931611511693546,0.9769247770309448,153.6,3.0,0.032768,156.632768,0.01936228312073244,300000,0.05,128,300000,38400000,2000000.0,997134.0,8192.0,537.5771484375,2068.0
BucketOccupancy + JL (d=64),2000000,599999,0.2999995,52817.61954717753,37.86615180969238,0.38926000000000005,0.1,0.4,0.7,0.03,0.6496,0.0,0.3504,0.27332,0.1,0.0,0.6030234002899151,0.5954083996567541,18.6472781775,15.044,24.969,37.85901000000001,122.65202200000361,805644.974,2.516552113799522,0.9722768068313599,20,1.0,2.93079235295959,0.934348464012146,153.599744,5.99999,0.032768,159.632502,0.03779153946982551,599999,0.05,64,600000,38400000,2000000.0,251847.0,8192.0,1266.7666015625,7417.0
"FIFO (Baseline, d=384)",2000000,200000,0.1,24099.958439778235,82.98769497871399,0.1783,0.0,0.2,0.3,0.1384,0.1118,0.0,0.8882,0.185216,0.14,0.0,0.17823565955684406,0.18461534243721092,41.220606538,43.421,52.842,67.49703000000002,308.6531060000174,4750.906,1.5544789387623505,1.1429293155670166,20,1.0,2.931394962226215,1.0135143995285034,307.2,2.0,0.032768,309.232768,0.006573585371133761,200000,0.1,384,200000,76800000,,,,,
"BucketOccupancy (Baseline, d=384)",2000000,200000,0.1,69424.17006887756,28.80841064453125,0.19722000000000003,0.0,0.2,0.4,0.128,0.179,0.0,0.821,0.195596,0.14,0.0,0.1968316421619383,0.19685101973116054,14.170905362,12.064,21.424,33.935,101.54201600000262,153010.211,2.812914456233422,1.167649745941162,20,1.0,2.9309568776911696,1.0203807353973389,307.2,2.0,0.032768,309.232768,0.006573585371133761,200000,0.1,384,200000,76800000,2000000.0,1520347.0,8192.0,269.7744140625,951.0
BucketOccupancy + JL (d=128),2000000,599999,0.2999995,51220.891333394495,39.04656767845154,0.46786000000000005,0.2,0.5,0.7,0.0086,0.637,0.0,0.363,0.38354,0.21,0.0,0.6014288672603023,0.5933110899704732,19.230005357,15.629,25.006049999999814,38.439,150.22607100001164,804605.613,2.4594663766075886,1.0454434156417847,20,1.0,2.9306363158251596,0.9805066585540771,307.199488,5.99999,0.032768,313.232246,0.01925969652562527,599999,0.1,128,600000,76800000,2000000.0,256892.0,8192.0,1263.68359375,5470.0
BucketOccupancy + JL (d=64),2000000,1000000,0.5,51653.90776870621,38.71923899650574,0.5561200000000001,0.2,0.6,0.9,0.0,0.9994,1.0,0.0006,0.37733199999999995,0.14,0.0,1.0,1.0,19.091147489,14.474,20.353,39.278,139.5110030000005,1195927.177,2.713693519414122,0.0009765625,20,1.0,2.9306452330751167,0.9304777383804321,256.0,10.0,0.032768,266.032768,0.037712527202664,1000000,0.1,64,1200000,76800000,2000000.0,0.0,8192.0,1953.125,12764.0
"FIFO (Baseline, d=384)",2000000,500000,0.25,7053.914438756678,283.53051590919495,0.40346,0.2,0.4,0.6,0.006,0.2878,0.0,0.7122,0.41371800000000003,0.35,0.0,0.40331331538620835,0.41379783031256767,141.1609751265,181.807,199.781,244.65402000000003,606.817006000001,13677.873,1.3456798693119627,1.1110405921936035,20,1.0,2.93114621476047,1.0096240043640137,768.0,5.0,0.032768,773.032768,0.006510420008482745,500000,0.25,384,500000,192000000,,,,,
"BucketOccupancy (Baseline, d=384)",2000000,500000,0.25,49183.66803819624,40.663904905319214,0.49923999999999996,0.2,0.5,0.8,0.0042,0.5144,0.0,0.4856,0.49079799999999996,0.37,0.0,0.49946158624974113,0.49421115110773595,20.030690629000002,16.879,25.737,42.52901000000001,147.20003500000573,644364.165,2.5196403815391912,1.1348323822021484,20,1.0,2.9307217293776917,1.0231455564498901,768.0,5.0,0.032768,773.032768,0.006510420008482745,500000,0.25,384,500000,192000000,2000000.0,462993.0,8192.0,1012.0947265625,3543.0
BucketOccupancy + JL (d=128),2000000,1000000,0.5,43844.81682170864,45.6154260635376,0.67716,0.4,0.7,0.9,0.0,0.9994,1.0,0.0006,0.534292,0.29,0.0,1.0,1.0,22.5322147815,16.149,23.054,43.86101000000001,185.0380440000072,1812033.033,2.716020187008484,0.001091830083169043,20,1.0,2.9306452330751167,0.9778776168823242,512.0,10.0,0.032768,522.032768,0.019218655638107377,1000000,0.25,128,1500000,192000000,2000000.0,0.0,8192.0,1953.125,10354.0
BucketOccupancy + JL (d=64),2000000,1000000,0.5,51702.711676010156,38.68269062042236,0.5561200000000001,0.2,0.6,0.9,0.0,0.9994,1.0,0.0006,0.37733199999999995,0.14,0.0,1.0,1.0,19.080569022,14.14,18.424,34.66,131.92407100001165,1423855.954,2.4512022630834513,0.0009765625,20,1.0,2.9306452330751167,0.9304777383804321,256.0,10.0,0.032768,266.032768,0.037712527202664,1000000,0.25,64,3000000,192000000,2000000.0,0.0,8192.0,1953.125,12764.0
"FIFO (Baseline, d=384)",2000000,1000000,0.5,5171.307057955409,386.74941897392273,0.6832199999999999,0.5,0.7,0.9,0.0,0.5602,0.0,0.4398,0.695146,0.64,0.0,0.6828950093186995,0.6953417792314251,192.75311950649998,320.8,396.1330499999998,560.3420800000001,923.4010090000015,4226.811,1.7467022443890277,1.1076226234436035,20,1.0,2.930752148055878,1.0169472694396973,1536.0,10.0,0.032768,1546.032768,0.006489363102554887,1000000,0.5,384,1000000,384000000,,,,,
"BucketOccupancy (Baseline, d=384)",2000000,999999,0.4999995,41421.81337490542,48.28373837471008,0.9999600000000001,1.0,1.0,1.0,0.0,0.9994,1.0,0.0006,0.9999899999999999,1.0,0.0,1.0,0.9999972584187108,23.8339414955,17.383,36.347,49.54001000000001,163.099,1363835.808,2.849911407697176,0.0009765625,20,1.0,2.930645203539071,1.0191010236740112,1535.998464,9.99999,0.032768,1546.031222,0.006489363123612261,999999,0.5,384,1000000,384000000,2000000.0,0.0,8192.0,1953.1240234375,8947.0
BucketOccupancy + JL (d=128),2000000,1000000,0.5,46150.95560131671,43.336047410964966,0.67716,0.4,0.7,0.9,0.0,0.9994,1.0,0.0006,0.534292,0.29,0.0,1.0,1.0,21.3831481685,15.628,24.2,45.07001000000001,168.21306800001113,1445534.607,2.883926926030203,0.001091830083169043,20,1.0,2.9306452330751167,0.9778776168823242,512.0,10.0,0.032768,522.032768,0.019218655638107377,1000000,0.5,128,3000000,384000000,2000000.0,0.0,8192.0,1953.125,10354.0
BucketOccupancy + JL (d=64),2000000,1000000,0.5,45950.69109804179,43.524916648864746,0.5561200000000001,0.2,0.6,0.9,0.0,0.9994,1.0,0.0006,0.37733199999999995,0.14,0.0,1.0,1.0,21.481849039,15.39,23.433,44.474,181.6460200000033,1492238.056,2.889798570500325,0.0009765625,20,1.0,2.9306452330751167,0.9304777383804321,256.0,10.0,0.032768,266.032768,0.037712527202664,1000000,0.5,64,6000000,384000000,2000000.0,0.0,8192.0,1953.125,12764.0
