k,L,redundancy,precision,recall,compression,false_admit_rate,false_reject_rate,tp,fp,fn,tn,filter_stored,oracle_stored,n_stream
4,4,0.2,0.9975722798499228,0.9997788099977881,0.72496,0.006362058993637941,0.00022119000221190003,4520,11,1,1718,4531,4521,6250
4,8,0.2,1.0,1.0,0.72336,0.0,0.0,4521,0,0,1729,4521,4521,6250
4,16,0.2,1.0,1.0,0.72336,0.0,0.0,4521,0,0,1729,4521,4521,6250
8,4,0.2,0.9798177083333334,0.9986728599867286,0.73728,0.05378831694621168,0.0013271400132714001,4515,93,6,1636,4608,4521,6250
8,8,0.2,0.9960326206744545,0.9995576199955762,0.72592,0.010410641989589358,0.00044238000442380006,4519,18,2,1711,4537,4521,6250
8,16,0.2,0.999557815609109,1.0,0.72368,0.001156737998843262,0.0,4521,2,0,1727,4523,4521,6250
16,4,0.2,0.912639029322548,0.9982304799823049,0.7912,0.2498554077501446,0.0017695200176952002,4513,432,8,1297,4945,4521,6250
16,8,0.2,0.9645147498931167,0.9980092899800929,0.74848,0.09600925390399075,0.0019907100199071004,4512,166,9,1563,4678,4521,6250
16,16,0.2,0.9884026258205689,0.9991152399911524,0.7312,0.030653556969346442,0.0008847600088476001,4517,53,4,1676,4570,4521,6250
4,4,0.5,0.9928787224859732,0.9995655007603736,0.4634,0.006114508060033352,0.00043449923962633063,4601,33,2,5364,4634,4603,10000
4,8,0.5,1.0,1.0,0.4603,0.0,0.0,4603,0,0,5397,4603,4603,10000
4,16,0.5,1.0,1.0,0.4603,0.0,0.0,4603,0,0,5397,4603,4603,10000
8,4,0.5,0.951512639867385,0.9976102541820552,0.4826,0.0433574207893274,0.0023897458179448186,4592,234,11,5163,4826,4603,10000
8,8,0.5,0.9943808082991139,0.9995655007603736,0.4627,0.004817491198814156,0.00043449923962633063,4601,26,2,5371,4627,4603,10000
8,16,0.5,1.0,1.0,0.4603,0.0,0.0,4603,0,0,5397,4603,4603,10000
16,4,0.5,0.8066561014263075,0.9952205083641104,0.5679,0.20344635908838243,0.004779491635889637,4581,1098,22,4299,5679,4603,10000
16,8,0.5,0.929845904298459,0.9963067564631762,0.4932,0.06410969056883453,0.0036932435368238104,4586,346,17,5051,4932,4603,10000
16,16,0.5,0.9824561403508771,0.9976102541820552,0.4674,0.015193626088567723,0.0023897458179448186,4592,82,11,5315,4674,4603,10000
4,4,0.8,0.9810574521232306,0.9989402289105553,0.19216,0.004486737008184597,0.00105977108944468,4713,91,5,20191,4804,4718,25000
4,8,0.8,0.9997880457821111,0.9997880457821111,0.18872,4.9304802287742826e-05,0.000211954217888936,4717,1,1,20281,4718,4718,25000
4,16,0.8,1.0,1.0,0.18872,0.0,0.0,4718,0,0,20282,4718,4718,25000
8,4,0.8,0.8516304347826087,0.9963967782958881,0.2208,0.040380633073661375,0.0036032217041119118,4701,819,17,19463,5520,4718,25000
8,8,0.8,0.986404517883288,0.9995760915642221,0.19124,0.0032048121487032837,0.000423908435777872,4716,65,2,20217,4781,4718,25000
8,16,0.8,0.999364406779661,0.9997880457821111,0.1888,0.00014791440686322849,0.000211954217888936,4717,3,1,20279,4720,4718,25000
16,4,0.8,0.5598852498207029,0.9927935565917761,0.33464,0.18154028202346909,0.0072064434082238235,4684,3682,34,16600,8366,4718,25000
16,8,0.8,0.7808698550241626,0.993217465027554,0.24004,0.06483581500838181,0.006782534972445952,4686,1315,32,18967,6001,4718,25000
16,16,0.8,0.9558943089430895,0.9968206867316659,0.1968,0.010699142096440193,0.00317931326833404,4703,217,15,20065,4920,4718,25000
